"name ","ref"
"Parroquia Santa Inés","res_country_state_municipalities_030"
"Parroquia Capital Manuel Ezequiel Bruzual ","res_country_state_municipalities_012"
"Parroquia Guanape","res_country_state_municipalities_012"
"Parroquia Sabana de Uchire","res_country_state_municipalities_012"
"Parroquia Capital Pedro María Freites ","res_country_state_municipalities_016"
"Parroquia Libertador","res_country_state_municipalities_016"
"Parroquia Santa Rosa","res_country_state_municipalities_016"
"Parroquia Urica","res_country_state_municipalities_016"
"Parroquia Capital Píritu  ","res_country_state_municipalities_025"
"Parroquia San Francisco ","res_country_state_municipalities_025"
"Parroquia Capital San Juan de Capistrano ","res_country_state_municipalities_026"
"Parroquia Boca de Chávez ","res_country_state_municipalities_026"
"Parroquia Capital Santa Ana  ","res_country_state_municipalities_027"
"Parroquia Pueblo Nuevo","res_country_state_municipalities_027"
"Parroquia El Carmen","res_country_state_municipalities_011"
"Parroquia San Cristóbal","res_country_state_municipalities_011"
"Parroquia Bergantín","res_country_state_municipalities_011"
"Parroquia Caigua","res_country_state_municipalities_011"
"Parroquia El Pilar","res_country_state_municipalities_011"
"Parroquia Naricual","res_country_state_municipalities_011"
"Parroquia Edmundo Barrios ","res_country_state_municipalities_028"
"Parroquia Miguel Otero Silva   ","res_country_state_municipalities_028"
"Parroquia Capital Sir Arthur Mc Gregor  ","res_country_state_municipalities_021"
"Parroquia Tomás Alfaro Calatrava  ","res_country_state_municipalities_021"
"Parroquia Capital Diego Bautista Urbaneja ","res_country_state_municipalities_015"
"Parroquia El Morro","res_country_state_municipalities_015"
"Parroquia Urbana Achaguas","res_country_state_municipalities_031"
"Parroquia Apurito","res_country_state_municipalities_031"
"Parroquia El Yagual","res_country_state_municipalities_031"
"Parroquia Guachara","res_country_state_municipalities_031"
"Parroquia Mucuritas","res_country_state_municipalities_031"
"Parroquia Queseras del Medio","res_country_state_municipalities_031"
"Parroquia Urbana Biruaca","res_country_state_municipalities_032"
"Parroquia Urbana Bruzual","res_country_state_municipalities_033"
"Parroquia Mantecal","res_country_state_municipalities_033"
"Parroquia Quintero","res_country_state_municipalities_033"
"Parroquia Rincón Hondo","res_country_state_municipalities_033"
"Parroquia San Vicente","res_country_state_municipalities_033"
"Parroquia Urbana Guasdualito","res_country_state_municipalities_034"
"Parroquia Aramendi","res_country_state_municipalities_034"
"Parroquia El Amparo","res_country_state_municipalities_034"
"Parroquia San Camilo","res_country_state_municipalities_034"
"Parroquia Urdaneta","res_country_state_municipalities_034"
"Parroquia Urbana San Juan de Payara","res_country_state_municipalities_035"
"Parroquia Codazzi","res_country_state_municipalities_035"
"Parroquia Cunaviche","res_country_state_municipalities_035"
"Parroquia Urbana Elorza","res_country_state_municipalities_036"
"Parroquia La Trinidad","res_country_state_municipalities_036"
"Parroquia Urbana San Fernando","res_country_state_municipalities_037"
"Parroquia El Recreo","res_country_state_municipalities_037"
"Parroquia Peñalver","res_country_state_municipalities_037"
"Parroquia San Rafael de Atamaica","res_country_state_municipalities_037"
"Parroquia Camatagua ","res_country_state_municipalities_039"
"Parroquia No Urbana Carmen de Cura","res_country_state_municipalities_039"
"Parroquia No Urbana Choroní ","res_country_state_municipalities_041"
"Parroquia Urbana Las Delicias ","res_country_state_municipalities_041"
"Parroquia Urbana Madre María de San José ","res_country_state_municipalities_041"
"Parroquia Urbana Joaquín Crespo ","res_country_state_municipalities_041"
"Parroquia Urbana Pedro José Ovalles","res_country_state_municipalities_041"
"Parroquia Urbana José Casanova Godoy","res_country_state_municipalities_041"
"Parroquia Urbana Andrés Eloy Blanco","res_country_state_municipalities_041"
"Parroquia Urbana Los Tacariguas ","res_country_state_municipalities_041"
"Parroquia José Félix Ribas ","res_country_state_municipalities_043"
"Parroquia Castor Nieves Ríos ","res_country_state_municipalities_043"
"Parroquia No Urbana Las Guacamayas","res_country_state_municipalities_043"
"Parroquia No Urbana Pao de Zárate","res_country_state_municipalities_043"
"Parroquia No Urbana Zuata","res_country_state_municipalities_043"
"Parroquia Libertador ","res_country_state_municipalities_045"
"Parroquia No Urbana San Martín de Porres ","res_country_state_municipalities_045"
"Parroquia Mario Briceño Iragorry ","res_country_state_municipalities_047"
"Parroquia Caña de Azúcar","res_country_state_municipalities_047"
"Parroquia San Casimiro ","res_country_state_municipalities_049"
"Parroquia No Urbana Güiripa","res_country_state_municipalities_049"
"Parroquia No Urbana Ollas de Caramacate","res_country_state_municipalities_049"
"Parroquia No Urbana Valle Morín","res_country_state_municipalities_049"
"Parroquia Santiago Mariño ","res_country_state_municipalities_051"
"Parroquia No Urbana Arévalo Aponte","res_country_state_municipalities_051"
"Parroquia No Urbana Chuao","res_country_state_municipalities_051"
"Parroquia No Urbana Samán de Güere","res_country_state_municipalities_051"
"Parroquia No Urbana Alfredo Pacheco Miranda","res_country_state_municipalities_051"
"Parroquia Santos Michelena ","res_country_state_municipalities_052"
"Parroquia No Urbana Tiara","res_country_state_municipalities_052"
"Parroquia Sucre ","res_country_state_municipalities_053"
"Parroquia No Urbana Bella Vista","res_country_state_municipalities_053"
"Parroquia Urdaneta ","res_country_state_municipalities_055"
"Parroquia No Urbana Las Peñitas","res_country_state_municipalities_055"
"Parroquia No Urbana San Francisco de Cara","res_country_state_municipalities_055"
"Parroquia No Urbana Taguay","res_country_state_municipalities_055"
"Parroquia Zamora ","res_country_state_municipalities_056"
"Parroquia No Urbana Magdaleno","res_country_state_municipalities_056"
"Parroquia No Urbana San Francisco de Asís","res_country_state_municipalities_056"
"Parroquia No Urbana Valles de Tucutunemo","res_country_state_municipalities_056"
"Parroquia No Urbana Augusto Mijares","res_country_state_municipalities_056"
"Parroquia Francisco Linares Alcántara ","res_country_state_municipalities_040"
"Parroquia No Urbana Francisco de Miranda ","res_country_state_municipalities_040"
"Parroquia No Urbana Monseñor Feliciano González ","res_country_state_municipalities_040"
"Parroquia Sabaneta","res_country_state_municipalities_057"
"Parroquia Rodríguez Domínguez","res_country_state_municipalities_057"
"Parroquia Ticoporo","res_country_state_municipalities_059"
"Parroquia Andrés Bello ","res_country_state_municipalities_059"
"Parroquia Nicolás Pulido","res_country_state_municipalities_059"
"Parroquia Arismendi","res_country_state_municipalities_060"
"Parroquia Guadarrama","res_country_state_municipalities_060"
"Parroquia La Unión","res_country_state_municipalities_060"
"Parroquia San Antonio","res_country_state_municipalities_060"
"Parroquia Barinas","res_country_state_municipalities_061"
"Parroquia Alfredo Arvelo Larriva","res_country_state_municipalities_061"
"Parroquia San Silvestre","res_country_state_municipalities_061"
"Parroquia Santa Inés","res_country_state_municipalities_061"
"Parroquia Santa Lucía","res_country_state_municipalities_061"
"Parroquia Torunos","res_country_state_municipalities_061"
"Parroquia El Carmen ","res_country_state_municipalities_061"
"Parroquia Rómulo Betancourt ","res_country_state_municipalities_061"
"Parroquia Corazón de Jesús ","res_country_state_municipalities_061"
"Parroquia Ramón Ignacio Méndez ","res_country_state_municipalities_061"
"Parroquia Alto Barinas ","res_country_state_municipalities_061"
"Parroquia Manuel Palacio Fajardo","res_country_state_municipalities_061"
"Parroquia Juan Antonio Rodríguez Domínguez ","res_country_state_municipalities_061"
"Parroquia Dominga Ortiz de Páez ","res_country_state_municipalities_061"
"Parroquia Barinitas","res_country_state_municipalities_062"
"Parroquia Altamira","res_country_state_municipalities_062"
"Parroquia Calderas","res_country_state_municipalities_062"
"Parroquia Barrancas","res_country_state_municipalities_063"
"Parroquia El Socorro","res_country_state_municipalities_063"
"Parroquia Masparrito ","res_country_state_municipalities_063"
"Parroquia Santa Bárbara","res_country_state_municipalities_064"
"Parroquia José Ignacio Del Pumar","res_country_state_municipalities_064"
"Parroquia Pedro Briceño Méndez","res_country_state_municipalities_064"
"Parroquia Ramón Ignacio Méndez","res_country_state_municipalities_064"
"Parroquia Obispos","res_country_state_municipalities_065"
"Parroquia El Real","res_country_state_municipalities_065"
"Parroquia La Luz","res_country_state_municipalities_065"
"Parroquia Los Guasimitos ","res_country_state_municipalities_065"
"Parroquia Ciudad Bolivia","res_country_state_municipalities_066"
"Parroquia Ignacio Briceño","res_country_state_municipalities_066"
"Parroquia José Félix Ribas ","res_country_state_municipalities_066"
"Parroquia Paez","res_country_state_municipalities_066"
"Parroquia Libertad","res_country_state_municipalities_067"
"Parroquia Dolores","res_country_state_municipalities_067"
"Parroquia Palacios Fajardo","res_country_state_municipalities_067"
"Parroquia Santa Rosa","res_country_state_municipalities_067"
"Parroquia Simón Rodríguez ","res_country_state_municipalities_067"
"Parroquia Ciudad de Nutrias","res_country_state_municipalities_068"
"Parroquia El Regalo","res_country_state_municipalities_068"
"Parroquia Puerto de Nutrias","res_country_state_municipalities_068"
"Parroquia Santa Catalina","res_country_state_municipalities_068"
"Parroquia Simón Bolívar ","res_country_state_municipalities_068"
"Parroquia El Cantón ","res_country_state_municipalities_058"
"Parroquia Santa Cruz de Guacas ","res_country_state_municipalities_058"
"Parroquia Puerto Vivas","res_country_state_municipalities_058"
"Parroquia Cachamay ","res_country_state_municipalities_069"
"Parroquia Chirica ","res_country_state_municipalities_069"
"Parroquia Dalla Costa ","res_country_state_municipalities_069"
"Parroquia Once de Abril ","res_country_state_municipalities_069"
"Parroquia Simón Bolívar","res_country_state_municipalities_069"
"Parroquia Unare ","res_country_state_municipalities_069"
"Parroquia Universidad ","res_country_state_municipalities_069"
"Parroquia Vista al Sol ","res_country_state_municipalities_069"
"Parroquia Pozo Verde ","res_country_state_municipalities_069"
"Parroquia Yocoima ","res_country_state_municipalities_069"
"Sección Capital Cedeño ","res_country_state_municipalities_070"
"Parroquia Altagracia ","res_country_state_municipalities_070"
"Parroquia Ascensión Farreras","res_country_state_municipalities_070"
"Parroquia Guaniamo ","res_country_state_municipalities_070"
"Parroquia La Urbana","res_country_state_municipalities_070"
"Parroquia Pijiguaos","res_country_state_municipalities_070"
"Sección Capital Gran Sabana ","res_country_state_municipalities_072"
"Parroquia Ikabarú ","res_country_state_municipalities_072"
"Parroquia Agua Salada ","res_country_state_municipalities_073"
"Parroquia Catedral","res_country_state_municipalities_073"
"Parroquia José Antonio Páez ","res_country_state_municipalities_073"
"Parroquia La Sabanita ","res_country_state_municipalities_073"
"Parroquia Marhuanta ","res_country_state_municipalities_073"
"Parroquia Vista Hermosa","res_country_state_municipalities_073"
"Parroquia Orinoco","res_country_state_municipalities_073"
"Parroquia Panapana","res_country_state_municipalities_073"
"Parroquia Zea ","res_country_state_municipalities_073"
"Sección Capital Piar ","res_country_state_municipalities_074"
"Parroquia Andrés Eloy Blanco","res_country_state_municipalities_074"
"Parroquia Pedro Cova","res_country_state_municipalities_074"
"Sección Capital Raúl Leoni ","res_country_state_municipalities_075"
"Parroquia Barceloneta","res_country_state_municipalities_075"
"Parroquia San Francisco","res_country_state_municipalities_075"
"Parroquia Santa Bárbara ","res_country_state_municipalities_075"
"Sección Capital Roscio ","res_country_state_municipalities_076"
"Parroquia Salom","res_country_state_municipalities_076"
"Sección Capital Sifontes ","res_country_state_municipalities_077"
"Parroquia Dalla Costa","res_country_state_municipalities_077"
"Parroquia San Isidro","res_country_state_municipalities_077"
"Sección Capital Sucre ","res_country_state_municipalities_078"
"Parroquia Aripao","res_country_state_municipalities_078"
"Parroquia Guarataro","res_country_state_municipalities_078"
"Parroquia Las Majadas","res_country_state_municipalities_078"
"Parroquia Moitaco","res_country_state_municipalities_078"
"Parroquia Urbana Bejuma","res_country_state_municipalities_080"
"Parroquia No Urbana Canoabo","res_country_state_municipalities_080"
"Parroquia No Urbana Simón Bolívar","res_country_state_municipalities_080"
"Parroquia Urbana Güigüe","res_country_state_municipalities_081"
"Parroquia No Urbana Belén","res_country_state_municipalities_081"
"Parroquia No Urbana Tacarigua","res_country_state_municipalities_081"
"Parroquia Urbana Aguas Calientes","res_country_state_municipalities_083"
"Parroquia Urbana Mariara","res_country_state_municipalities_083"
"Parroquia Urbana Ciudad Alianza","res_country_state_municipalities_082"
"Parroquia Urbana Guacara","res_country_state_municipalities_082"
"Parroquia No Urbana Yagua","res_country_state_municipalities_082"
"Parroquia Urbana Morón","res_country_state_municipalities_084"
"Parroquia No Urbana Urama","res_country_state_municipalities_084"
"Parroquia Urbana Tocuyito","res_country_state_municipalities_085"
"Parroquia Urbana Independencia","res_country_state_municipalities_085"
"Parroquia Urbana Los Guayos","res_country_state_municipalities_086"
"Parroquia Urbana Miranda","res_country_state_municipalities_088"
"Parroquia Urbana Montalbán","res_country_state_municipalities_089"
"Parroquia Urbana Naguanagua","res_country_state_municipalities_087"
"Parroquia Urbana Bartolomé Salom","res_country_state_municipalities_090"
"Parroquia Urbana Democracia","res_country_state_municipalities_090"
"Parroquia Urbana Fraternidad","res_country_state_municipalities_090"
"Parroquia Urbana Goaigoaza","res_country_state_municipalities_090"
"Parroquia Urbana Juan José Flores","res_country_state_municipalities_090"
"Parroquia Urbana Unión","res_country_state_municipalities_090"
"Parroquia No Urbana Borburata","res_country_state_municipalities_090"
"Parroquia No Urbana Patanemo","res_country_state_municipalities_090"
"Parroquia Urbana San Diego","res_country_state_municipalities_091"
"Parroquia Urbana San Joaquín","res_country_state_municipalities_092"
"Parroquia Urbana Candelaria","res_country_state_municipalities_093"
"Parroquia Urbana Catedral","res_country_state_municipalities_093"
"Parroquia Urbana El Socorro","res_country_state_municipalities_093"
"Parroquia Urbana Miguel Peña","res_country_state_municipalities_093"
"Parroquia Urbana Rafael Urdaneta","res_country_state_municipalities_093"
"Parroquia Urbana San Blas","res_country_state_municipalities_093"
"Parroquia Urbana San José","res_country_state_municipalities_093"
"Parroquia Urbana Santa Rosa","res_country_state_municipalities_093"
"Parroquia No Urbana Negro Primero","res_country_state_municipalities_093"
"Parroquia Cojedes","res_country_state_municipalities_094"
"Parroquia Juan de Mata Suárez","res_country_state_municipalities_094"
"Parroquia Tinaquillo","res_country_state_municipalities_095"
"Parroquia El Baúl","res_country_state_municipalities_046"
"Parroquia Sucre","res_country_state_municipalities_046"
"Parroquia Macapo ","res_country_state_municipalities_096"
"Parroquia La Aguadita ","res_country_state_municipalities_096"
"Parroquia El Pao","res_country_state_municipalities_097"
"Parroquia Libertad de Cojedes","res_country_state_municipalities_098"
"Parroquia El Amparo","res_country_state_municipalities_098"
"Parroquia Rómulo Gallegos","res_country_state_municipalities_099"
"Parroquia San Carlos de Austria","res_country_state_municipalities_100"
"Parroquia Juan Angel Bravo","res_country_state_municipalities_100"
"Parroquia Manuel Manrique","res_country_state_municipalities_100"
"Parroquia General en Jefe José Laurencio Silva ","res_country_state_municipalities_101"
"Parroquia Curiapo","res_country_state_municipalities_102"
"Parroquia Almirante Luis Brión","res_country_state_municipalities_102"
"Parroquia Francisco Aniceto Lugo ","res_country_state_municipalities_102"
"Parroquia Manuel Renaud ","res_country_state_municipalities_102"
"Parroquia Padre Barral ","res_country_state_municipalities_102"
"Parroquia Santos de Abelgas","res_country_state_municipalities_102"
"Parroquia Imataca ","res_country_state_municipalities_103"
"Parroquia Cinco de Julio ","res_country_state_municipalities_103"
"Parroquia Juan Bautista Arismendi","res_country_state_municipalities_103"
"Parroquia Manuel Piar","res_country_state_municipalities_103"
"Parroquia Rómulo Gallegos ","res_country_state_municipalities_103"
"Parroquia Pedernales","res_country_state_municipalities_104"
"Parroquia Luis Beltrán Prieto Figueroa","res_country_state_municipalities_104"
"Parroquia San José ","res_country_state_municipalities_105"
"Parroquia José Vidal Marcano","res_country_state_municipalities_105"
"Parroquia Juan Millán","res_country_state_municipalities_105"
"Parroquia Leonardo Ruíz Pineda","res_country_state_municipalities_105"
"Parroquia Mariscal Antonio José de Sucre","res_country_state_municipalities_105"
"Parroquia Monseñor Argimiro García","res_country_state_municipalities_105"
"Parroquia San Rafael ","res_country_state_municipalities_105"
"Parroquia Virgen del Valle","res_country_state_municipalities_105"
"Parroquia Altagracia","res_country_state_municipalities_001"
"Parroquia Antímano","res_country_state_municipalities_001"
"Parroquia Candelaria","res_country_state_municipalities_001"
"Parroquia Caricuao","res_country_state_municipalities_001"
"Parroquia Catedral","res_country_state_municipalities_001"
"Parroquia Coche ","res_country_state_municipalities_001"
"Parroquia El Junquito ","res_country_state_municipalities_001"
"Parroquia EL Paraíso","res_country_state_municipalities_001"
"Parroquia El Recreo","res_country_state_municipalities_001"
"Parroquia El Valle","res_country_state_municipalities_001"
"Parroquia La Pastora","res_country_state_municipalities_001"
"Parroquia La Vega","res_country_state_municipalities_001"
"Parroquia Macarao","res_country_state_municipalities_001"
"Parroquia San Agustín","res_country_state_municipalities_001"
"Parroquia San Bernardino","res_country_state_municipalities_001"
"Parroquia San José","res_country_state_municipalities_001"
"Parroquia San Juan","res_country_state_municipalities_001"
"Parroquia San Pedro","res_country_state_municipalities_001"
"Parroquia Santa Rosalía","res_country_state_municipalities_001"
"Parroquia Santa Teresa","res_country_state_municipalities_001"
"Parroquia Sucre","res_country_state_municipalities_001"
"Parroquia 23 de Enero","res_country_state_municipalities_001"
"Parroquia San Juan de los Cayos","res_country_state_municipalities_106"
"Parroquia Capadare","res_country_state_municipalities_106"
"Parroquia La Pastora","res_country_state_municipalities_106"
"Parroquia Libertador","res_country_state_municipalities_106"
"Parroquia San Luis","res_country_state_municipalities_107"
"Parroquia Aracua","res_country_state_municipalities_107"
"Parroquia La Peña ","res_country_state_municipalities_107"
"Parroquia Capatárida","res_country_state_municipalities_108"
"Parroquia Bariro","res_country_state_municipalities_108"
"Parroquia Borojó","res_country_state_municipalities_108"
"Parroquia Guajiro","res_country_state_municipalities_108"
"Parroquia Seque","res_country_state_municipalities_108"
"Parroquia Zazárida","res_country_state_municipalities_108"
"Parroquia Carirubana","res_country_state_municipalities_110"
"Parroquia Norte","res_country_state_municipalities_110"
"Parroquia Punta Cardón","res_country_state_municipalities_110"
"Parroquia Santa Ana","res_country_state_municipalities_110"
"Parroquia La Vela de Coro","res_country_state_municipalities_111"
"Parroquia Acurigua","res_country_state_municipalities_111"
"Parroquia Guaibacoa","res_country_state_municipalities_111"
"Parroquia Las Calderas","res_country_state_municipalities_111"
"Parroquia Macoruca","res_country_state_municipalities_111"
"Parroquia Pedregal","res_country_state_municipalities_113"
"Parroquia Agua Clara","res_country_state_municipalities_113"
"Parroquia Avaria","res_country_state_municipalities_113"
"Parroquia Piedra Grande","res_country_state_municipalities_113"
"Parroquia Purureche","res_country_state_municipalities_113"
"Parroquia Pueblo Nuevo","res_country_state_municipalities_114"
"Parroquia Adícora","res_country_state_municipalities_114"
"Parroquia Baraived","res_country_state_municipalities_114"
"Parroquia Buena Vista","res_country_state_municipalities_114"
"Parroquia Jadacaquiva","res_country_state_municipalities_114"
"Parroquia Moruy","res_country_state_municipalities_114"
"Parroquia Adaure","res_country_state_municipalities_114"
"Parroquia El Hato","res_country_state_municipalities_114"
"Parroquia El Vínculo","res_country_state_municipalities_114"
"Parroquia Churuguara","res_country_state_municipalities_115"
"Parroquia Agua Larga","res_country_state_municipalities_115"
"Parroquia El Paují ","res_country_state_municipalities_115"
"Parroquia Independencia","res_country_state_municipalities_115"
"Parroquia Mapararí","res_country_state_municipalities_115"
"Parroquia Jacura","res_country_state_municipalities_116"
"Parroquia Agua Linda","res_country_state_municipalities_116"
"Parroquia Araurima","res_country_state_municipalities_116"
"Parroquia Los Taques","res_country_state_municipalities_117"
"Parroquia Judibana","res_country_state_municipalities_117"
"Parroquia Mene de Mauroa","res_country_state_municipalities_118"
"Parroquia Casigua","res_country_state_municipalities_118"
"Parroquia San Félix","res_country_state_municipalities_118"
"Parroquia San Antonio","res_country_state_municipalities_119"
"Parroquia San Gabriel","res_country_state_municipalities_119"
"Parroquia Santa Ana","res_country_state_municipalities_119"
"Parroquia Guzmán Guillermo","res_country_state_municipalities_119"
"Parroquia Mitare","res_country_state_municipalities_119"
"Parroquia Río Seco","res_country_state_municipalities_119"
"Parroquia Sabaneta","res_country_state_municipalities_119"
"Parroquia Chichiriviche","res_country_state_municipalities_120"
"Parroquia Boca de Tocuyo","res_country_state_municipalities_120"
"Parroquia Tocuyo de la Costa","res_country_state_municipalities_120"
"Parroquia Cabure","res_country_state_municipalities_122"
"Parroquia Colina","res_country_state_municipalities_122"
"Parroquia Curimagua","res_country_state_municipalities_122"
"Parroquia Píritu","res_country_state_municipalities_123"
"Parroquia San José de la Costa","res_country_state_municipalities_123"
"Parroquia Tucacas","res_country_state_municipalities_125"
"Parroquia Boca de Aroa","res_country_state_municipalities_125"
"Parroquia Sucre","res_country_state_municipalities_126"
"Parroquia Pecaya","res_country_state_municipalities_126"
"Parroquia Santa Cruz de Bucaral","res_country_state_municipalities_128"
"Parroquia El Charal ","res_country_state_municipalities_128"
"Parroquia Las Vegas del Tuy ","res_country_state_municipalities_128"
"Parroquia Urumaco","res_country_state_municipalities_129"
"Parroquia Bruzual","res_country_state_municipalities_129"
"Parroquia Puerto Cumarebo","res_country_state_municipalities_130"
"Parroquia La Ciénaga","res_country_state_municipalities_130"
"Parroquia La Soledad","res_country_state_municipalities_130"
"Parroquia Pueblo Cumarebo","res_country_state_municipalities_130"
"Parroquia Zazárida","res_country_state_municipalities_130"
"Parroquia Capital Camaguán ","res_country_state_municipalities_131"
"Parroquia Puerto Miranda","res_country_state_municipalities_131"
"Parroquia Uverito ","res_country_state_municipalities_131"
"Parroquia Chaguaramas","res_country_state_municipalities_132"
"Parroquia El Socorro","res_country_state_municipalities_133"
"Parroquia Capital San Gerónimo de Guayabal ","res_country_state_municipalities_143"
"Parroquia Cazorla","res_country_state_municipalities_143"
"Parroquia Capital Valle de La Pascua ","res_country_state_municipalities_140"
"Parroquia Espino","res_country_state_municipalities_140"
"Parroquia Capital Las Mercedes ","res_country_state_municipalities_139"
"Parroquia Cabruta","res_country_state_municipalities_139"
"Parroquia Santa Rita de Manapire","res_country_state_municipalities_139"
"Parroquia Capital El Sombrero ","res_country_state_municipalities_138"
"Parroquia Sosa ","res_country_state_municipalities_138"
"Parroquia Capital Calabozo ","res_country_state_municipalities_134"
"Parroquia El Calvario","res_country_state_municipalities_134"
"Parroquia El Rastro","res_country_state_municipalities_134"
"Parroquia Guardatinajas","res_country_state_municipalities_134"
"Parroquia Capital Altagracia de Orituco ","res_country_state_municipalities_136"
"Parroquia Lezama","res_country_state_municipalities_136"
"Parroquia Libertad de Orituco","res_country_state_municipalities_136"
"Parroquia Paso Real de Macaira ","res_country_state_municipalities_136"
"Parroquia San Francisco de Macaira","res_country_state_municipalities_136"
"Parroquia San Rafael de Orituco","res_country_state_municipalities_136"
"Parroquia Soublette","res_country_state_municipalities_136"
"Parroquia Capital Ortiz ","res_country_state_municipalities_142"
"Parroquia San Francisco de Tiznado","res_country_state_municipalities_142"
"Parroquia San José de Tiznado","res_country_state_municipalities_142"
"Parroquia San Lorenzo de Tiznado ","res_country_state_municipalities_142"
"Parroquia Capital Tucupido ","res_country_state_municipalities_135"
"Parroquia San Rafael de Laya","res_country_state_municipalities_135"
"Parroquia Capital San Juan de Los Morros ","res_country_state_municipalities_137"
"Parroquia Cantagallo ","res_country_state_municipalities_137"
"Parroquia Parapara","res_country_state_municipalities_137"
"Parroquia San José de Guaribe","res_country_state_municipalities_144"
"Parroquia Capital Santa María de Ipire ","res_country_state_municipalities_145"
"Parroquia Altamira ","res_country_state_municipalities_145"
"Parroquia Capital Zaraza ","res_country_state_municipalities_141"
"Parroquia San José de Unare","res_country_state_municipalities_141"
"Parroquia Pío Tamayo","res_country_state_municipalities_146"
"Parroquia Quebrada Honda de Guache ","res_country_state_municipalities_146"
"Parroquia Yacambú","res_country_state_municipalities_146"
"Parroquia Fréitez","res_country_state_municipalities_147"
"Parroquia José María Blanco","res_country_state_municipalities_147"
"Parroquia Catedral","res_country_state_municipalities_148"
"Parroquia Concepción","res_country_state_municipalities_148"
"Parroquia El Cují","res_country_state_municipalities_148"
"Parroquia Juan de Villegas","res_country_state_municipalities_148"
"Parroquia Santa Rosa","res_country_state_municipalities_148"
"Parroquia Tamaca","res_country_state_municipalities_148"
"Parroquia Unión","res_country_state_municipalities_148"
"Parroquia Aguedo Felipe Alvarado","res_country_state_municipalities_148"
"Parroquia Buena Vista","res_country_state_municipalities_148"
"Parroquia Juárez","res_country_state_municipalities_148"
"Parroquia Juan Bautista Rodríguez","res_country_state_municipalities_149"
"Parroquia Cuara","res_country_state_municipalities_149"
"Parroquia Diego de Lozada","res_country_state_municipalities_149"
"Parroquia Paraíso de San José","res_country_state_municipalities_149"
"Parroquia San Miguel","res_country_state_municipalities_149"
"Parroquia Tintorero ","res_country_state_municipalities_149"
"Parroquia José Bernardo Dorante","res_country_state_municipalities_149"
"Parroquia Coronel Mariano Peraza ","res_country_state_municipalities_149"
"Parroquia Bolívar","res_country_state_municipalities_150"
"Parroquia Anzoátegui","res_country_state_municipalities_150"
"Parroquia Guarico","res_country_state_municipalities_150"
"Parroquia Hilario Luna y Luna","res_country_state_municipalities_150"
